ticker,event_id,rdq,post_dt,score,num_comments,raw_compound,adp_compound,compound_delta,raw_label,adp_label,text_clean,text_processed
GOOGL,GOOGL_20180723,2018-07-23,2018-07-21,30,8,0.6509,-0.9547,-1.6056,positive,negative,"Incredibly shitty Earnings DD, but at least I tried I really wish there were a ""shitty dd"" flair option, but whatever. Anyway, this is just a bunch of notes I've taken the past few hours cause what else am I supposed to do on a Friday evening, socialize? Fuck that. Also, please note most of these notes are based solely on technicals and little to no effort has gone into looking at previous earning","Incredibly shitty Earnings DD, but at least I tried I really wish there were a ""shitty dd"" flair option, but whatever. Anyway, this is just a bunch of notes I've taken the past few hours cause what else am I supposed to do on a Friday evening, socialize? Fuck that. Also, please note most of these notes are based solely on technicals and little to no effort has gone into looking at previous earning"
AAPL,AAPL_20180731,2018-07-31,2018-07-21,30,8,0.6509,-0.9547,-1.6056,positive,negative,"Incredibly shitty Earnings DD, but at least I tried I really wish there were a ""shitty dd"" flair option, but whatever. Anyway, this is just a bunch of notes I've taken the past few hours cause what else am I supposed to do on a Friday evening, socialize? Fuck that. Also, please note most of these notes are based solely on technicals and little to no effort has gone into looking at previous earning","Incredibly shitty Earnings DD, but at least I tried I really wish there were a ""shitty dd"" flair option, but whatever. Anyway, this is just a bunch of notes I've taken the past few hours cause what else am I supposed to do on a Friday evening, socialize? Fuck that. Also, please note most of these notes are based solely on technicals and little to no effort has gone into looking at previous earning"
GOOGL,GOOGL_20210202,2021-02-02,2021-02-01,344,91,0.7181,-0.8436,-1.5617,positive,negative,"What’s happening to GME? Credit to: u/that-possible-2402nnWhat’s Happened the Past Few Days?: The Anatomy of a Short Ladder AttacknnPublished courtesy of Citizens for Securities Reform, at shorting are not random acts of a renegade hedge funds, but rather a coordinated business plan that is carried out by a collusive consortium of hedge funds and prime brokers, with help from their friends at the ","What’s happening to GME? Credit to: u/that-possible-2402nnWhat’s Happened the Past Few Days?: The Anatomy of a Short Ladder AttacknnPublished courtesy of Citizens for Securities Reform, at shorting are not random acts of a renegade hedge funds, but rather a coordinated business plan that is carried out by a collusive consortium of hedge funds and prime brokers, with help from their friends at the "
GOOGL,GOOGL_20210202,2021-02-02,2021-02-01,344,91,0.7181,-0.8436,-1.5617,positive,negative,"What’s happening to GME? Credit to: u/that-possible-2402nnWhat’s Happened the Past Few Days?: The Anatomy of a Short Ladder AttacknnPublished courtesy of Citizens for Securities Reform, at shorting are not random acts of a renegade hedge funds, but rather a coordinated business plan that is carried out by a collusive consortium of hedge funds and prime brokers, with help from their friends at the ","What’s happening to GME? Credit to: u/that-possible-2402nnWhat’s Happened the Past Few Days?: The Anatomy of a Short Ladder AttacknnPublished courtesy of Citizens for Securities Reform, at shorting are not random acts of a renegade hedge funds, but rather a coordinated business plan that is carried out by a collusive consortium of hedge funds and prime brokers, with help from their friends at the "
GOOGL,GOOGL_20210202,2021-02-02,2021-02-01,344,91,0.7181,-0.8436,-1.5617,positive,negative,"What’s happening to GME? Credit to: u/that-possible-2402nnWhat’s Happened the Past Few Days?: The Anatomy of a Short Ladder AttacknnPublished courtesy of Citizens for Securities Reform, at shorting are not random acts of a renegade hedge funds, but rather a coordinated business plan that is carried out by a collusive consortium of hedge funds and prime brokers, with help from their friends at the ","What’s happening to GME? Credit to: u/that-possible-2402nnWhat’s Happened the Past Few Days?: The Anatomy of a Short Ladder AttacknnPublished courtesy of Citizens for Securities Reform, at shorting are not random acts of a renegade hedge funds, but rather a coordinated business plan that is carried out by a collusive consortium of hedge funds and prime brokers, with help from their friends at the "
GOOGL,GOOGL_20210202,2021-02-02,2021-02-01,344,91,0.7181,-0.8436,-1.5617,positive,negative,"What’s happening to GME? Credit to: u/that-possible-2402nnWhat’s Happened the Past Few Days?: The Anatomy of a Short Ladder AttacknnPublished courtesy of Citizens for Securities Reform, at shorting are not random acts of a renegade hedge funds, but rather a coordinated business plan that is carried out by a collusive consortium of hedge funds and prime brokers, with help from their friends at the ","What’s happening to GME? Credit to: u/that-possible-2402nnWhat’s Happened the Past Few Days?: The Anatomy of a Short Ladder AttacknnPublished courtesy of Citizens for Securities Reform, at shorting are not random acts of a renegade hedge funds, but rather a coordinated business plan that is carried out by a collusive consortium of hedge funds and prime brokers, with help from their friends at the "
DIS,DIS_20190508,2019-05-08,2019-04-29,28,11,-0.6013,0.9486,1.5499,negative,positive,"My case for MCD earnings. Full DD inside. Alright, we all know that DIS calls print like a broken xerox machine, but I know this sub is hungry for more of those delicious tendies. Look no further for I have discovered a fool proof strategy. It came to me in a dream. A classic one at that, one of elementary school bullies giving me the ole right there Fred. Not unlike what The Undertaker did to Man","My case for MCD earnings. Full DD inside. Alright, we all know that DIS calls print like a broken xerox machine, but I know this sub is hungry for more of those delicious tendies. Look no further for I have discovered a fool proof strategy. It came to me in a dream. A classic one at that, one of elementary school bullies giving me the ole right there Fred. Not unlike what The Undertaker did to Man"
GOOGL,GOOGL_20210202,2021-02-02,2021-01-28,236,122,-0.9512,0.5566,1.5078,negative,positive,"Why $NOK won't squeeze and why it may be manipulation Disclaimer: This is not investment advice, I am retarded also and have 1/29 $5P and $4.5P on $NOK because I am not retarded and I understand basic market dynamics and I want free money. I am not advocating any plays.nnYeah bagholders, shills, and hedge fund bots I know you won't like this post but shut the fuck up and Ill try to save you some m","Why $NOK won't squeeze and why it may be manipulation Disclaimer: This is not investment advice, I am retarded also and have 1/29 $5P and $4.5P on $NOK because I am not retarded and I understand basic market dynamics and I want free money. I am not advocating any plays.nnYeah bagholders, shills, and hedge fund bots I know you won't like this post but shut the fuck up and Ill try to save you some m"
GOOGL,GOOGL_20210202,2021-02-02,2021-01-28,236,122,-0.9512,0.5566,1.5078,negative,positive,"Why $NOK won't squeeze and why it may be manipulation Disclaimer: This is not investment advice, I am retarded also and have 1/29 $5P and $4.5P on $NOK because I am not retarded and I understand basic market dynamics and I want free money. I am not advocating any plays.nnYeah bagholders, shills, and hedge fund bots I know you won't like this post but shut the fuck up and Ill try to save you some m","Why $NOK won't squeeze and why it may be manipulation Disclaimer: This is not investment advice, I am retarded also and have 1/29 $5P and $4.5P on $NOK because I am not retarded and I understand basic market dynamics and I want free money. I am not advocating any plays.nnYeah bagholders, shills, and hedge fund bots I know you won't like this post but shut the fuck up and Ill try to save you some m"
GOOGL,GOOGL_20210202,2021-02-02,2021-01-28,236,122,-0.9512,0.5566,1.5078,negative,positive,"Why $NOK won't squeeze and why it may be manipulation Disclaimer: This is not investment advice, I am retarded also and have 1/29 $5P and $4.5P on $NOK because I am not retarded and I understand basic market dynamics and I want free money. I am not advocating any plays.nnYeah bagholders, shills, and hedge fund bots I know you won't like this post but shut the fuck up and Ill try to save you some m","Why $NOK won't squeeze and why it may be manipulation Disclaimer: This is not investment advice, I am retarded also and have 1/29 $5P and $4.5P on $NOK because I am not retarded and I understand basic market dynamics and I want free money. I am not advocating any plays.nnYeah bagholders, shills, and hedge fund bots I know you won't like this post but shut the fuck up and Ill try to save you some m"
GOOGL,GOOGL_20210202,2021-02-02,2021-01-31,15168,738,0.6307,-0.8756,-1.5063,positive,negative,"Important! GME Short attack tactics predicted in 2014! All the tactics used in the recent week by hedge funds revealed and explained **All the tactics Hedge funds are using to crash GME prices were revealed as far back as 2014 in this article:**nnAnatomy of a short attacknn**TL;DR:**n**Ladder attacks to drive the price down, Media assults, Brokers pulling margin, Paid bashers, Diversion attempts -","Important! GME Short attack tactics predicted in 2014! All the tactics used in the recent week by hedge funds revealed and explained **All the tactics Hedge funds are using to crash GME prices were revealed as far back as 2014 in this article:**nnAnatomy of a short attacknn**TL;DR:**n**Ladder attacks to drive the price down, Media assults, Brokers pulling margin, Paid bashers, Diversion attempts -"
GOOGL,GOOGL_20210202,2021-02-02,2021-01-31,15168,738,0.6307,-0.8756,-1.5063,positive,negative,"Important! GME Short attack tactics predicted in 2014! All the tactics used in the recent week by hedge funds revealed and explained **All the tactics Hedge funds are using to crash GME prices were revealed as far back as 2014 in this article:**nnAnatomy of a short attacknn**TL;DR:**n**Ladder attacks to drive the price down, Media assults, Brokers pulling margin, Paid bashers, Diversion attempts -","Important! GME Short attack tactics predicted in 2014! All the tactics used in the recent week by hedge funds revealed and explained **All the tactics Hedge funds are using to crash GME prices were revealed as far back as 2014 in this article:**nnAnatomy of a short attacknn**TL;DR:**n**Ladder attacks to drive the price down, Media assults, Brokers pulling margin, Paid bashers, Diversion attempts -"
GOOGL,GOOGL_20210202,2021-02-02,2021-01-31,15168,738,0.6307,-0.8756,-1.5063,positive,negative,"Important! GME Short attack tactics predicted in 2014! All the tactics used in the recent week by hedge funds revealed and explained **All the tactics Hedge funds are using to crash GME prices were revealed as far back as 2014 in this article:**nnAnatomy of a short attacknn**TL;DR:**n**Ladder attacks to drive the price down, Media assults, Brokers pulling margin, Paid bashers, Diversion attempts -","Important! GME Short attack tactics predicted in 2014! All the tactics used in the recent week by hedge funds revealed and explained **All the tactics Hedge funds are using to crash GME prices were revealed as far back as 2014 in this article:**nnAnatomy of a short attacknn**TL;DR:**n**Ladder attacks to drive the price down, Media assults, Brokers pulling margin, Paid bashers, Diversion attempts -"
GOOGL,GOOGL_20210202,2021-02-02,2021-01-31,15168,738,0.6307,-0.8756,-1.5063,positive,negative,"Important! GME Short attack tactics predicted in 2014! All the tactics used in the recent week by hedge funds revealed and explained **All the tactics Hedge funds are using to crash GME prices were revealed as far back as 2014 in this article:**nnAnatomy of a short attacknn**TL;DR:**n**Ladder attacks to drive the price down, Media assults, Brokers pulling margin, Paid bashers, Diversion attempts -","Important! GME Short attack tactics predicted in 2014! All the tactics used in the recent week by hedge funds revealed and explained **All the tactics Hedge funds are using to crash GME prices were revealed as far back as 2014 in this article:**nnAnatomy of a short attacknn**TL;DR:**n**Ladder attacks to drive the price down, Media assults, Brokers pulling margin, Paid bashers, Diversion attempts -"
AMZN,AMZN_20200730,2020-07-30,2020-07-27,42,91,0.5622,-0.916,-1.4782,positive,negative,"Earning Plays for Dummies: $UA is Under Water (Basic TA & Obvious Catalysts) TL;DR: $UA is taking on a lot of debt because of historically low retail sales causing near bankruptcy cash flow. Largest athletic apparel retailer or not, when the business isn't making money it's losing it. Taking on LARGE amount of debt, to raise cash, to keep the doors open is not the nail in the coffin, but it is dam","Earning Plays for Dummies: $UA is Under Water (Basic TA & Obvious Catalysts) TL;DR: $UA is taking on a lot of debt because of historically low retail sales causing near bankruptcy cash flow. Largest athletic apparel retailer or not, when the business isn't making money it's losing it. Taking on LARGE amount of debt, to raise cash, to keep the doors open is not the nail in the coffin, but it is dam"
AMZN,AMZN_20200730,2020-07-30,2020-07-27,42,91,0.5622,-0.916,-1.4782,positive,negative,"Earning Plays for Dummies: $UA is Under Water (Basic TA & Obvious Catalysts) TL;DR: $UA is taking on a lot of debt because of historically low retail sales causing near bankruptcy cash flow. Largest athletic apparel retailer or not, when the business isn't making money it's losing it. Taking on LARGE amount of debt, to raise cash, to keep the doors open is not the nail in the coffin, but it is dam","Earning Plays for Dummies: $UA is Under Water (Basic TA & Obvious Catalysts) TL;DR: $UA is taking on a lot of debt because of historically low retail sales causing near bankruptcy cash flow. Largest athletic apparel retailer or not, when the business isn't making money it's losing it. Taking on LARGE amount of debt, to raise cash, to keep the doors open is not the nail in the coffin, but it is dam"
AMZN,AMZN_20200730,2020-07-30,2020-07-27,42,91,0.5622,-0.916,-1.4782,positive,negative,"Earning Plays for Dummies: $UA is Under Water (Basic TA & Obvious Catalysts) TL;DR: $UA is taking on a lot of debt because of historically low retail sales causing near bankruptcy cash flow. Largest athletic apparel retailer or not, when the business isn't making money it's losing it. Taking on LARGE amount of debt, to raise cash, to keep the doors open is not the nail in the coffin, but it is dam","Earning Plays for Dummies: $UA is Under Water (Basic TA & Obvious Catalysts) TL;DR: $UA is taking on a lot of debt because of historically low retail sales causing near bankruptcy cash flow. Largest athletic apparel retailer or not, when the business isn't making money it's losing it. Taking on LARGE amount of debt, to raise cash, to keep the doors open is not the nail in the coffin, but it is dam"
AMZN,AMZN_20200730,2020-07-30,2020-07-27,42,91,0.5622,-0.916,-1.4782,positive,negative,"Earning Plays for Dummies: $UA is Under Water (Basic TA & Obvious Catalysts) TL;DR: $UA is taking on a lot of debt because of historically low retail sales causing near bankruptcy cash flow. Largest athletic apparel retailer or not, when the business isn't making money it's losing it. Taking on LARGE amount of debt, to raise cash, to keep the doors open is not the nail in the coffin, but it is dam","Earning Plays for Dummies: $UA is Under Water (Basic TA & Obvious Catalysts) TL;DR: $UA is taking on a lot of debt because of historically low retail sales causing near bankruptcy cash flow. Largest athletic apparel retailer or not, when the business isn't making money it's losing it. Taking on LARGE amount of debt, to raise cash, to keep the doors open is not the nail in the coffin, but it is dam"
AMZN,AMZN_20200730,2020-07-30,2020-07-27,42,91,0.5622,-0.916,-1.4782,positive,negative,"Earning Plays for Dummies: $UA is Under Water (Basic TA & Obvious Catalysts) TL;DR: $UA is taking on a lot of debt because of historically low retail sales causing near bankruptcy cash flow. Largest athletic apparel retailer or not, when the business isn't making money it's losing it. Taking on LARGE amount of debt, to raise cash, to keep the doors open is not the nail in the coffin, but it is dam","Earning Plays for Dummies: $UA is Under Water (Basic TA & Obvious Catalysts) TL;DR: $UA is taking on a lot of debt because of historically low retail sales causing near bankruptcy cash flow. Largest athletic apparel retailer or not, when the business isn't making money it's losing it. Taking on LARGE amount of debt, to raise cash, to keep the doors open is not the nail in the coffin, but it is dam"
AMZN,AMZN_20200730,2020-07-30,2020-07-27,42,91,0.5622,-0.916,-1.4782,positive,negative,"Earning Plays for Dummies: $UA is Under Water (Basic TA & Obvious Catalysts) TL;DR: $UA is taking on a lot of debt because of historically low retail sales causing near bankruptcy cash flow. Largest athletic apparel retailer or not, when the business isn't making money it's losing it. Taking on LARGE amount of debt, to raise cash, to keep the doors open is not the nail in the coffin, but it is dam","Earning Plays for Dummies: $UA is Under Water (Basic TA & Obvious Catalysts) TL;DR: $UA is taking on a lot of debt because of historically low retail sales causing near bankruptcy cash flow. Largest athletic apparel retailer or not, when the business isn't making money it's losing it. Taking on LARGE amount of debt, to raise cash, to keep the doors open is not the nail in the coffin, but it is dam"
AMZN,AMZN_20200730,2020-07-30,2020-07-27,42,91,0.5622,-0.916,-1.4782,positive,negative,"Earning Plays for Dummies: $UA is Under Water (Basic TA & Obvious Catalysts) TL;DR: $UA is taking on a lot of debt because of historically low retail sales causing near bankruptcy cash flow. Largest athletic apparel retailer or not, when the business isn't making money it's losing it. Taking on LARGE amount of debt, to raise cash, to keep the doors open is not the nail in the coffin, but it is dam","Earning Plays for Dummies: $UA is Under Water (Basic TA & Obvious Catalysts) TL;DR: $UA is taking on a lot of debt because of historically low retail sales causing near bankruptcy cash flow. Largest athletic apparel retailer or not, when the business isn't making money it's losing it. Taking on LARGE amount of debt, to raise cash, to keep the doors open is not the nail in the coffin, but it is dam"
TSLA,TSLA_20201021,2020-10-21,2020-10-20,8,34,-0.7148,0.7623,1.4771,negative,positive,"SPI - Nio's Hotter Cousin Are you in the dumps because you missed out on those juicy Nio tendies? Has TSLA been a lil ?? to you recently?nnEnter SPI. The best solar company you've never heard. From China. At 165MM market cap, you're literally getting in at the ground floor. For once in your life you'll finally be ""smart money."" SPI has its hands in everything.nn* Solar solutions for public and pri","SPI - Nio's Hotter Cousin Are you in the dumps because you missed out on those juicy Nio tendies? Has TSLA been a lil ?? to you recently?nnEnter SPI. The best solar company you've never heard. From China. At 165MM market cap, you're literally getting in at the ground floor. For once in your life you'll finally be ""smart money."" SPI has its hands in everything.nn* Solar solutions for public and pri"
GOOGL,GOOGL_20210202,2021-02-02,2021-01-28,68580,7924,-0.925,0.5334,1.4584,negative,positive,"30 Seconds From Triggering Market Nuclear Bomb I'm glad this place has quieted down enough for some actual DD written by a monkey with a keyboard and Adderall. nnDisclaimer: I am that monkey. Let me explain to you what happened, play by play. I will give you illiterates who hate reading a spoiler up front: nn__We were within approximately 30 seconds of triggering a nuclear bomb that would have blo","30 Seconds From Triggering Market Nuclear Bomb I'm glad this place has quieted down enough for some actual DD written by a monkey with a keyboard and Adderall. nnDisclaimer: I am that monkey. Let me explain to you what happened, play by play. I will give you illiterates who hate reading a spoiler up front: nn__We were within approximately 30 seconds of triggering a nuclear bomb that would have blo"
GOOGL,GOOGL_20210202,2021-02-02,2021-02-01,72,14,-0.7776,0.6768,1.4544001,negative,positive,"Thoughts on Youtube people making useless live streams to earn affiliate commissions from getting people to sign up to WeBull, RH, etc. Capitalizing on the new retards trying to strike gold. Okay so full disclosure... I am a bag holder because there is a movement and I want to do my part and also make some nice gains if possible (literally I am gambling with you guys). nnWith WSB trending, people ","Thoughts on Youtube people making useless live streams to earn affiliate commissions from getting people to sign up to WeBull, RH, etc. Capitalizing on the new retards trying to strike gold. Okay so full disclosure... I am a bag holder because there is a movement and I want to do my part and also make some nice gains if possible (literally I am gambling with you guys). nnWith WSB trending, people "
TSLA,TSLA_20200722,2020-07-22,2020-07-13,92,119,0.6072,-0.8183,-1.4255,positive,negative,"16K YOLO on TSLA puts as warmup to getting back in the game A decade and a half ago I made a decent living learning to read the tape at a prop shop. While many of my fellow trading desk autists traded lame shit like Twix and Pfft, or rebate traded attain (~~ATTN~~ADFN ECN) crosses with under $5 NASDAQ stocks (JDSU), I traded shit that actually moved during the day with actual volume. I'm talking t","16K YOLO on TSLA puts as warmup to getting back in the game A decade and a half ago I made a decent living learning to read the tape at a prop shop. While many of my fellow trading desk autists traded lame shit like Twix and Pfft, or rebate traded attain (~~ATTN~~ADFN ECN) crosses with under $5 NASDAQ stocks (JDSU), I traded shit that actually moved during the day with actual volume. I'm talking t"
TSLA,TSLA_20190724,2019-07-24,2019-07-21,41,26,-0.4695,0.9385,1.408,negative,positive,"If you want tendies, get the big MAC It's a common misconception that in this gay digital age, REITs are losing money faster than your OTM SPY puts. Maybe that's true. But hear me out.nnThere's one REIT that's a big fat fucking BUY right now and that's MAC aka Macerich aka Makes You Rich.nnMacerich basically owns malls.nnBut wildebeestcuck, malls are dying, right? Well, I don't know I don't really","If you want tendies, get the big MAC It's a common misconception that in this gay digital age, REITs are losing money faster than your OTM SPY puts. Maybe that's true. But hear me out.nnThere's one REIT that's a big fat fucking BUY right now and that's MAC aka Macerich aka Makes You Rich.nnMacerich basically owns malls.nnBut wildebeestcuck, malls are dying, right? Well, I don't know I don't really"
GOOGL,GOOGL_20190725,2019-07-25,2019-07-21,41,26,-0.4695,0.9385,1.408,negative,positive,"If you want tendies, get the big MAC It's a common misconception that in this gay digital age, REITs are losing money faster than your OTM SPY puts. Maybe that's true. But hear me out.nnThere's one REIT that's a big fat fucking BUY right now and that's MAC aka Macerich aka Makes You Rich.nnMacerich basically owns malls.nnBut wildebeestcuck, malls are dying, right? Well, I don't know I don't really","If you want tendies, get the big MAC It's a common misconception that in this gay digital age, REITs are losing money faster than your OTM SPY puts. Maybe that's true. But hear me out.nnThere's one REIT that's a big fat fucking BUY right now and that's MAC aka Macerich aka Makes You Rich.nnMacerich basically owns malls.nnBut wildebeestcuck, malls are dying, right? Well, I don't know I don't really"
